example_id,feature_id,section,subsection,feature_name,transcription_example,source_file,source_pages,notes
V001_EX1,V001,Гласные,Ударный вокализм,Реализация древней фонемы < ê > (ѣ / «ять»),[д’ê]ло; [св’ê]т; по[л’ê]но; [л’ê]то,2_TiPVDiLGRYa_Ud-Vok.pdf,2-3,Сохранить специальные знаки транскрипции
V001_EX2,V001,Гласные,Ударный вокализм,Реализация древней фонемы < ê > (ѣ / «ять»),[е / и / ê / и͡е / ие / еи],2_TiPVDiLGRYa_Ud-Vok.pdf,2-3,Сохранить специальные знаки транскрипции
V001_EX3,V001,Гласные,Ударный вокализм,Реализация древней фонемы < ê > (ѣ / «ять»),"л’и͡ес, л’êс, в л’êсе, л’и͡есá, л’ис’истой",2_TiPVDiLGRYa_Ud-Vok.pdf,2-3,Сохранить специальные знаки транскрипции
V001_EX4,V001,Гласные,Ударный вокализм,Реализация древней фонемы < ê > (ѣ / «ять»),"л’ис – в л’иси, л’исистой",2_TiPVDiLGRYa_Ud-Vok.pdf,2-3,Сохранить специальные знаки транскрипции
V002_EX1,V002,Гласные,Ударный вокализм,Реализация древней фонемы < ô >,в[ô]т; дв[ô]р; д[ô]бр; заб[ô]та; к[ô]нь; к[ô]т,2_TiPVDiLGRYa_Ud-Vok.pdf,4,Архаичные говоры с [ê]
V002_EX2,V002,Гласные,Ударный вокализм,Реализация древней фонемы < ô >,[о / ô / у͡о / уо / оу],2_TiPVDiLGRYa_Ud-Vok.pdf,4,Архаичные говоры с [ê]
V002_EX3,V002,Гласные,Ударный вокализм,Реализация древней фонемы < ô >,"лиц[ô], хорош[ô]",2_TiPVDiLGRYa_Ud-Vok.pdf,4,Архаичные говоры с [ê]
V002_EX4,V002,Гласные,Ударный вокализм,Реализация древней фонемы < ô >,"с[ô]н, м[ô]х",2_TiPVDiLGRYa_Ud-Vok.pdf,4,Архаичные говоры с [ê]
V003_EX1,V003,Гласные,Ударный вокализм,Переход фонемы < е > в фонему < о >,"[п’é]с, [л’é]н, не[с’é]шь, не[с’é]м",2_TiPVDiLGRYa_Ud-Vok.pdf,5,
V003_EX2,V003,Гласные,Ударный вокализм,Переход фонемы < е > в фонему < о >,"[п’ó]с, [н’ó]с, ве[з’ó]шь, не[с’ó]м",2_TiPVDiLGRYa_Ud-Vok.pdf,5,
V003_EX3,V003,Гласные,Ударный вокализм,Переход фонемы < е > в фонему < о >,[н’é]бо / [н’ó]бо; [кр’é]ст / [кр’ó]ст,2_TiPVDiLGRYa_Ud-Vok.pdf,5,
V003_EX4,V003,Гласные,Ударный вокализм,Переход фонемы < е > в фонему < о >,зе[л’ó]ной > зе[л’óн’е]нькой,2_TiPVDiLGRYa_Ud-Vok.pdf,5,
V004_EX1,V004,Гласные,Ударный вокализм,Реализация фонемы < а > между мягкими согласными,о[п’áт’]; [з’áт’]; п[р’áн’]ик; в[з’áл’]и,2_TiPVDiLGRYa_Ud-Vok.pdf,6,
V004_EX2,V004,Гласные,Ударный вокализм,Реализация фонемы < а > между мягкими согласными,о[п’éт’]; [з’éт’]; п[р’éн’]ик; в[з’éл’]и,2_TiPVDiLGRYa_Ud-Vok.pdf,6,
V004_EX3,V004,Гласные,Ударный вокализм,Реализация фонемы < а > между мягкими согласными,гу[л’áл’]и; ког[т’áм’]и; рем[н’áм’]и,2_TiPVDiLGRYa_Ud-Vok.pdf,6,
V004_EX4,V004,Гласные,Ударный вокализм,Реализация фонемы < а > между мягкими согласными,гу[л’éл’]и; ког[т’éм’]и; рем[н’é’]ми,2_TiPVDiLGRYa_Ud-Vok.pdf,6,
V005_EX1,V005,Гласные,Ударный вокализм,Системные особенности ударного вокализма,"Говоры с шестью, семью или восемью гласными фонемами",2_TiPVDiLGRYa_Ud-Vok.pdf,7,
V005_EX2,V005,Гласные,Ударный вокализм,Системные особенности ударного вокализма,Зависимость качества гласных от последующего твёрдого / мягкого согласного,2_TiPVDiLGRYa_Ud-Vok.pdf,7,
V006_EX1,V006,Гласные,Безударный вокализм,Позиция первого предударного слога,трáвы – травá; сóвы – совá; двôр – дворы; дêло – делá,3_TiPVDiLGRYa_Bezud-Vok.pdf,2,
V006_EX2,V006,Гласные,Безударный вокализм,Позиция первого предударного слога,тр[а]вá,3_TiPVDiLGRYa_Bezud-Vok.pdf,2,
V006_EX3,V006,Гласные,Безударный вокализм,Позиция первого предударного слога,в [л’а]су / в [л’и]су,3_TiPVDiLGRYa_Bezud-Vok.pdf,2,
V006_EX4,V006,Гласные,Безударный вокализм,Позиция первого предударного слога,[н’е]си / [н’а]си / [н’и]си,3_TiPVDiLGRYa_Bezud-Vok.pdf,2,
V007_EX1,V007,Гласные,Безударный вокализм,Оканье,с[а]м – с[а]ма; дв[о]р – дв[о]ры,3_TiPVDiLGRYa_Bezud-Vok.pdf,3,
V007_EX2,V007,Гласные,Безударный вокализм,Оканье,[о/а],3_TiPVDiLGRYa_Bezud-Vok.pdf,3,
V007_EX3,V007,Гласные,Безударный вокализм,Оканье,[о/о],3_TiPVDiLGRYa_Bezud-Vok.pdf,3,
V007_EX4,V007,Гласные,Безударный вокализм,Оканье,[о/у],3_TiPVDiLGRYa_Bezud-Vok.pdf,3,
V008_EX1,V008,Гласные,Безударный вокализм,Сверхоканье,тр[а]вы – тр[о]ва,3_TiPVDiLGRYa_Bezud-Vok.pdf,3,
V008_EX2,V008,Гласные,Безударный вокализм,Сверхоканье,"скожи, кокую, нород, скокать",3_TiPVDiLGRYa_Bezud-Vok.pdf,3,
V008_EX3,V008,Гласные,Безударный вокализм,Сверхоканье,"зобор, зобота, локей, корета",3_TiPVDiLGRYa_Bezud-Vok.pdf,3,
V008_EX4,V008,Гласные,Безударный вокализм,Сверхоканье,"торелка, ломпадка",3_TiPVDiLGRYa_Bezud-Vok.pdf,3,
V009_EX1,V009,Гласные,Безударный вокализм,Аканье,с[а]м – с[а]ма; дв[о]р – дв[а]ры,3_TiPVDiLGRYa_Bezud-Vok.pdf,4,В sheet 2 развернуть типы
V009_EX2,V009,Гласные,Безударный вокализм,Аканье,ст[а]лы – тр[а]вы; ст[а]лу – тр[а]ву,3_TiPVDiLGRYa_Bezud-Vok.pdf,4,В sheet 2 развернуть типы
V009_EX3,V009,Гласные,Безударный вокализм,Аканье,ст[ъ]ла – тр[ъ]ва; с[ъ]плей; н[ъ]сок,3_TiPVDiLGRYa_Bezud-Vok.pdf,4,В sheet 2 развернуть типы
V009_EX4,V009,Гласные,Безударный вокализм,Аканье,ассимилятивно-диссимилятивное аканье,3_TiPVDiLGRYa_Bezud-Vok.pdf,4,В sheet 2 развернуть типы
V010_EX1,V010,Гласные,Безударный вокализм,Яканье,[п’а]ть – [п’а]ти; [н’о]с – [н’а]си; [л’е]с – [л’а]са,3_TiPVDiLGRYa_Bezud-Vok.pdf,6,"В sheet 2 развернуть сильное, диссимилятивное, ассимилятивное, умеренное"
V010_EX2,V010,Гласные,Безударный вокализм,Яканье,"[п’а]ти, [н’а]си, в [л’а]су",3_TiPVDiLGRYa_Bezud-Vok.pdf,6,"В sheet 2 развернуть сильное, диссимилятивное, ассимилятивное, умеренное"
V010_EX3,V010,Гласные,Безударный вокализм,Яканье,"[п’и]ти, [н’и]си, в [л’и]су",3_TiPVDiLGRYa_Bezud-Vok.pdf,6,"В sheet 2 развернуть сильное, диссимилятивное, ассимилятивное, умеренное"
V010_EX4,V010,Гласные,Безударный вокализм,Яканье,[л’и]са / [р’и]ка,3_TiPVDiLGRYa_Bezud-Vok.pdf,6,"В sheet 2 развернуть сильное, диссимилятивное, ассимилятивное, умеренное"
V011_EX1,V011,Гласные,Безударный вокализм,Еканье,[п’а]ть – [п’е]ти,3_TiPVDiLGRYa_Bezud-Vok.pdf,8,
V011_EX2,V011,Гласные,Безударный вокализм,Еканье,[н’о]с – [н’е]си,3_TiPVDiLGRYa_Bezud-Vok.pdf,8,
V011_EX3,V011,Гласные,Безударный вокализм,Еканье,[л’е]с – [л’е]са,3_TiPVDiLGRYa_Bezud-Vok.pdf,8,
V012_EX1,V012,Гласные,Безударный вокализм,Иканье,[п’а]ть – [п’и]ти,3_TiPVDiLGRYa_Bezud-Vok.pdf,8,
V012_EX2,V012,Гласные,Безударный вокализм,Иканье,[н’о]с – [н’и]си,3_TiPVDiLGRYa_Bezud-Vok.pdf,8,
V012_EX3,V012,Гласные,Безударный вокализм,Иканье,[л’е]с – [л’и]са,3_TiPVDiLGRYa_Bezud-Vok.pdf,8,
V013_EX1,V013,Гласные,Безударный вокализм,Ёканье,[н’о]с – [н’о]су,3_TiPVDiLGRYa_Bezud-Vok.pdf,9,Предударное и заударное
V013_EX2,V013,Гласные,Безударный вокализм,Ёканье,[р’е]к – [р’о]кой,3_TiPVDiLGRYa_Bezud-Vok.pdf,9,Предударное и заударное
V013_EX3,V013,Гласные,Безударный вокализм,Ёканье,"[л’о]жу, [н’о]су",3_TiPVDiLGRYa_Bezud-Vok.pdf,9,Предударное и заударное
V013_EX4,V013,Гласные,Безударный вокализм,Ёканье,"по[л’о], ве[т’о]р, се[м’о]",3_TiPVDiLGRYa_Bezud-Vok.pdf,9,Предударное и заударное
V014_EX1,V014,Гласные,Безударный вокализм,Уканье,"удна, утнял",3_TiPVDiLGRYa_Bezud-Vok.pdf,10,
V014_EX2,V014,Гласные,Безударный вокализм,Уканье,"утопри, удного",3_TiPVDiLGRYa_Bezud-Vok.pdf,10,
V014_EX3,V014,Гласные,Безударный вокализм,Уканье,"стурона, мулоко",3_TiPVDiLGRYa_Bezud-Vok.pdf,10,
V014_EX4,V014,Гласные,Безударный вокализм,Уканье,"пупугай; пумугли, гулубой, лускуды",3_TiPVDiLGRYa_Bezud-Vok.pdf,10,
V015_EX1,V015,Гласные,Безударный вокализм,Гласные второго предударного слога после твёрдых согласных,борона – сарафан,3_TiPVDiLGRYa_Bezud-Vok.pdf,11,
V015_EX2,V015,Гласные,Безударный вокализм,Гласные второго предударного слога после твёрдых согласных,бърона – сърафан / барона – сарафан,3_TiPVDiLGRYa_Bezud-Vok.pdf,11,
V015_EX3,V015,Гласные,Безударный вокализм,Гласные второго предударного слога после твёрдых согласных,бърана – сърафан / бырана – сырафан,3_TiPVDiLGRYa_Bezud-Vok.pdf,11,
C001_EX1,C001,Согласные,Качество согласных,Качество заднеязычного звонкого согласного,"[г]уси, но[г’]и, ро[г]а",4_TiPVDiLGRYa_Sogl.pdf,2-3,
C001_EX2,C001,Согласные,Качество согласных,Качество заднеязычного звонкого согласного,"[ɣ]уси, но[ɣ’]и, ра[ɣ]а",4_TiPVDiLGRYa_Sogl.pdf,2-3,
C001_EX3,C001,Согласные,Качество согласных,Качество заднеязычного звонкого согласного,"боɣа, ɣосподи, аɣа",4_TiPVDiLGRYa_Sogl.pdf,2-3,
C001_EX4,C001,Согласные,Качество согласных,Качество заднеязычного звонкого согласного,"доброɣо, тоɣо",4_TiPVDiLGRYa_Sogl.pdf,2-3,
C002_EX1,C002,Согласные,Качество согласных,Реализация заднеязычного фрикативного мягкого,"[ɣ’и]бель, [ɣ’е]рманец, сапо[ɣ’и]",4_TiPVDiLGRYa_Sogl.pdf,4,
C002_EX2,C002,Согласные,Качество согласных,Реализация заднеязычного фрикативного мягкого,"[j’и]бель, [j’е]рманец, сапо[j’и]",4_TiPVDiLGRYa_Sogl.pdf,4,
C002_EX3,C002,Согласные,Качество согласных,Реализация заднеязычного фрикативного мягкого,но[ɣ’и],4_TiPVDiLGRYa_Sogl.pdf,4,
C002_EX4,C002,Согласные,Качество согласных,Реализация заднеязычного фрикативного мягкого,но[j’и],4_TiPVDiLGRYa_Sogl.pdf,4,
C003_EX1,C003,Согласные,Заднеязычные,Непереходное ассимилятивное смягчение заднеязычных,"ва[н’к’]а, ма[н’к’]а, ско[л’к’]о",4_TiPVDiLGRYa_Sogl.pdf,5,
C003_EX2,C003,Согласные,Заднеязычные,Непереходное ассимилятивное смягчение заднеязычных,"ча[j’к’]у, вве[р’х’]у, ша[н’г’]а, кры[шк’]а",4_TiPVDiLGRYa_Sogl.pdf,5,
C003_EX3,C003,Согласные,Заднеязычные,Непереходное ассимилятивное смягчение заднеязычных,"только [к]: ско[л’к’]о, ча[j’к’]у",4_TiPVDiLGRYa_Sogl.pdf,5,
C003_EX4,C003,Согласные,Заднеязычные,Непереходное ассимилятивное смягчение заднеязычных,только после парных / непарных по мягкости,4_TiPVDiLGRYa_Sogl.pdf,5,
C004_EX1,C004,Согласные,Заднеязычные,Переходное неассимилятивное смягчение заднеязычных,"ru[т’и], но[д’и]",4_TiPVDiLGRYa_Sogl.pdf,6,
C004_EX2,C004,Согласные,Заднеязычные,Переходное неассимилятивное смягчение заднеязычных,[т’и]слый,4_TiPVDiLGRYa_Sogl.pdf,6,
C004_EX3,C004,Согласные,Заднеязычные,Переходное неассимилятивное смягчение заднеязычных,[д’и]бель,4_TiPVDiLGRYa_Sogl.pdf,6,
C005_EX1,C005,Согласные,Заднеязычные,Переходное ассимилятивное смягчение заднеязычных,"ва[н’т’]а, ско[л’т’]о",4_TiPVDiLGRYa_Sogl.pdf,6,
C005_EX2,C005,Согласные,Заднеязычные,Переходное ассимилятивное смягчение заднеязычных,ша[н’д’]а,4_TiPVDiLGRYa_Sogl.pdf,6,
C005_EX3,C005,Согласные,Заднеязычные,Переходное ассимилятивное смягчение заднеязычных,кры[шт’]а,4_TiPVDiLGRYa_Sogl.pdf,6,
C006_EX1,C006,Согласные,Сонанты и скользящие,Реализация фонемы < j >,"[и̯а]ма, мо[и̯а]",4_TiPVDiLGRYa_Sogl.pdf,7,
C006_EX2,C006,Согласные,Сонанты и скользящие,Реализация фонемы < j >,"зн[аи̯э]т, сильн[аи̯э]",4_TiPVDiLGRYa_Sogl.pdf,7,
C006_EX3,C006,Согласные,Сонанты и скользящие,Реализация фонемы < j >,зн[аэ]т,4_TiPVDiLGRYa_Sogl.pdf,7,
C006_EX4,C006,Согласные,Сонанты и скользящие,Реализация фонемы < j >,сильн[аэ]т,4_TiPVDiLGRYa_Sogl.pdf,7,
C007_EX1,C007,Согласные,Переднеязычные фрикативные,Палатальные (шепелявые) переднеязычные фрикативные,"ва[с’’а], в[ш’о]",4_TiPVDiLGRYa_Sogl.pdf,8,
C007_EX2,C007,Согласные,Переднеязычные фрикативные,Палатальные (шепелявые) переднеязычные фрикативные,[с’ш’е]бе,4_TiPVDiLGRYa_Sogl.pdf,8,
C007_EX3,C007,Согласные,Переднеязычные фрикативные,Палатальные (шепелявые) переднеязычные фрикативные,"ко[ш’]ить, в[ж’]ал",4_TiPVDiLGRYa_Sogl.pdf,8,
C007_EX4,C007,Согласные,Переднеязычные фрикативные,Палатальные (шепелявые) переднеязычные фрикативные,[з’’и]ма,4_TiPVDiLGRYa_Sogl.pdf,8,
C008_EX1,C008,Согласные,Переднеязычные фрикативные,Твёрдые шепелявые и смешение зубных с альвеолярными,"[сш]олома, [сш]колько, [зж]амёрзла",4_TiPVDiLGRYa_Sogl.pdf,8,
C008_EX2,C008,Согласные,Переднеязычные фрикативные,Твёрдые шепелявые и смешение зубных с альвеолярными,[ж]амуж – [з]ара,4_TiPVDiLGRYa_Sogl.pdf,8,
C008_EX3,C008,Согласные,Переднеязычные фрикативные,Твёрдые шепелявые и смешение зубных с альвеолярными,[ш]ажа – [с]аги,4_TiPVDiLGRYa_Sogl.pdf,8,
C009_EX1,C009,Согласные,Шипящие,Реализация кратких шипящих согласных,"[ш’]ар, [ж’]ара, [ж’]ила, но[ш’]ка",4_TiPVDiLGRYa_Sogl.pdf,9,
C009_EX2,C009,Согласные,Шипящие,Реализация кратких шипящих согласных,"[ж’]ила, [ш’]ила, но: [ж]ать, [ш]аг",4_TiPVDiLGRYa_Sogl.pdf,9,
C009_EX3,C009,Согласные,Шипящие,Реализация кратких шипящих согласных,"[ж’]ила, но: [шы]ла, [ж]ать, [ш]аг",4_TiPVDiLGRYa_Sogl.pdf,9,
C009_EX4,C009,Согласные,Шипящие,Реализация кратких шипящих согласных,"[жы]ла, [шы]ла, [ж]ать, [ш]аг",4_TiPVDiLGRYa_Sogl.pdf,9,
C010_EX1,C010,Согласные,Шипящие,Реализация долгих шипящих согласных,"[ш’ч’]ука, [ш’ч’]итать, е[ж’д’ж’]у",4_TiPVDiLGRYa_Sogl.pdf,9,
C010_EX2,C010,Согласные,Шипящие,Реализация долгих шипящих согласных,"[шч]ука, [шчы]тать, е[ждж]у",4_TiPVDiLGRYa_Sogl.pdf,9,
C010_EX3,C010,Согласные,Шипящие,Реализация долгих шипящих согласных,"[ш’:]ука, [ш’:и]тать, е[ж’:]у",4_TiPVDiLGRYa_Sogl.pdf,9,
C010_EX4,C010,Согласные,Шипящие,Реализация долгих шипящих согласных,"[ш:]ука, [ш:ы]тать, е[ж:]у",4_TiPVDiLGRYa_Sogl.pdf,9,
C011_EX1,C011,Согласные,Аффрикаты,"Различение аффрикат <ц>, <ч’>","[ч’]ай, [ч’]удо – [ц’]арь, [ц’]елый",4_TiPVDiLGRYa_Sogl.pdf,10,
C011_EX2,C011,Согласные,Аффрикаты,"Различение аффрикат <ц>, <ч’>","[ч]ай, [ч]удо – [ц]арь, [ц]елый",4_TiPVDiLGRYa_Sogl.pdf,10,
C011_EX3,C011,Согласные,Аффрикаты,"Различение аффрикат <ц>, <ч’>","[ч’]ай, [ч’]удо – [ц]арь, [ц]елый",4_TiPVDiLGRYa_Sogl.pdf,10,
C012_EX1,C012,Согласные,Аффрикаты,Цоканье,"[ц]ай, [ц]удо – [ц]арь, [ц]елый",4_TiPVDiLGRYa_Sogl.pdf,10,
C012_EX2,C012,Согласные,Аффрикаты,Цоканье,"[ц’]ай, [ц’]удо – [ц’]арь, [ц’]елый",4_TiPVDiLGRYa_Sogl.pdf,10,
C012_EX3,C012,Согласные,Аффрикаты,Цоканье,"[ц]ай, [ц]удо – [ц’]арь, [ц’]елый",4_TiPVDiLGRYa_Sogl.pdf,10,
C012_EX4,C012,Согласные,Аффрикаты,Цоканье,"[ч’]ай, [ч’]удо – [ч’]арь, [ч’]елый",4_TiPVDiLGRYa_Sogl.pdf,10,
C013_EX1,C013,Согласные,Аффрикаты,Утрата затвора аффрикатами,"[ш’]ай, [ш’]удо – [с]арь, [с]елый",4_TiPVDiLGRYa_Sogl.pdf,11,
C013_EX2,C013,Согласные,Аффрикаты,Утрата затвора аффрикатами,"[с]арь, [сэ]лый",4_TiPVDiLGRYa_Sogl.pdf,11,
C013_EX3,C013,Согласные,Аффрикаты,Утрата затвора аффрикатами,"[с’]арь, [с’]елый",4_TiPVDiLGRYa_Sogl.pdf,11,
C013_EX4,C013,Согласные,Аффрикаты,Утрата затвора аффрикатами,"[ш’]ай, [ш’]удо",4_TiPVDiLGRYa_Sogl.pdf,11,
C014_EX1,C014,Согласные,Губные,"Согласные <в>, <ф>, <в’>, <ф’>","[w]оля, де[w]ка, тра[w]а",4_TiPVDiLGRYa_Sogl.pdf,12,
C014_EX2,C014,Согласные,Губные,"Согласные <в>, <ф>, <в’>, <ф’>","[в]оля, тра[в]а, ста[в’]ил",4_TiPVDiLGRYa_Sogl.pdf,12,
C014_EX3,C014,Согласные,Губные,"Согласные <в>, <ф>, <в’>, <ф’>","[хw]артук, [хw]ильм",4_TiPVDiLGRYa_Sogl.pdf,12,
C014_EX4,C014,Согласные,Губные,"Согласные <в>, <ф>, <в’>, <ф’>","де[ф]ка, тра[ф]ка, коро[ф], ста[ф’]",4_TiPVDiLGRYa_Sogl.pdf,12,
C015_EX1,C015,Согласные,Сонорные,Согласный сонорный боковой,"шlа, паlок – ш[оу꙼], па[у꙼]ка",4_TiPVDiLGRYa_Sogl.pdf,13,
C015_EX2,C015,Согласные,Сонорные,Согласный сонорный боковой,"шла, палок – ш[оу꙼], па[у꙼]ка",4_TiPVDiLGRYa_Sogl.pdf,13,
C015_EX3,C015,Согласные,Сонорные,Согласный сонорный боковой,"ш[л]а, па[л]ок – шё[л], па[л]ка",4_TiPVDiLGRYa_Sogl.pdf,13,
C016_EX1,C016,Согласные,Прочие особенности,Ассимиляция носовых согласных,о[м:]ан,4_TiPVDiLGRYa_Sogl.pdf,14,
C016_EX2,C016,Согласные,Прочие особенности,Ассимиляция носовых согласных,о[н:]а,4_TiPVDiLGRYa_Sogl.pdf,14,
C016_EX3,C016,Согласные,Прочие особенности,Ассимиляция носовых согласных,[мн]ук,4_TiPVDiLGRYa_Sogl.pdf,14,
C017_EX1,C017,Согласные,Прочие особенности,Ассимиляция «зубной + j»,дру[з’:]а,4_TiPVDiLGRYa_Sogl.pdf,14,
C017_EX2,C017,Согласные,Прочие особенности,Ассимиляция «зубной + j»,сви[н’:]а,4_TiPVDiLGRYa_Sogl.pdf,14,
C017_EX3,C017,Согласные,Прочие особенности,Ассимиляция «зубной + j»,пла[т’:]а,4_TiPVDiLGRYa_Sogl.pdf,14,
C018_EX1,C018,Согласные,Прочие особенности,Диссимиляция,ску[ч’]но – ску[шн]о,4_TiPVDiLGRYa_Sogl.pdf,14,
C018_EX2,C018,Согласные,Прочие особенности,Диссимиляция,[ч’]то – [ш]то,4_TiPVDiLGRYa_Sogl.pdf,14,
C018_EX3,C018,Согласные,Прочие особенности,Диссимиляция,[к]то – [х]то,4_TiPVDiLGRYa_Sogl.pdf,14,
