feature_id,section,subsection,feature_name,description,source_file,source_pages,example_1,example_2,example_3,example_4,notes
V001,Гласные,Ударный вокализм,Реализация древней фонемы < ê > (ѣ / «ять»),Реализация <ê> в сильной позиции в исконно ятевых морфемах,2_TiPVDiLGRYa_Ud-Vok.pdf,2-3,[д’ê]ло; [св’ê]т; по[л’ê]но; [л’ê]то,[е / и / ê / и͡е / ие / еи],"л’и͡ес, л’êс, в л’êсе, л’и͡есá, л’ис’истой","л’ис – в л’иси, л’исистой",Сохранить специальные знаки транскрипции
V002,Гласные,Ударный вокализм,Реализация древней фонемы < ô >,Реализация <ô> (<о> под восходящей интонацией),2_TiPVDiLGRYa_Ud-Vok.pdf,4,в[ô]т; дв[ô]р; д[ô]бр; заб[ô]та; к[ô]нь; к[ô]т,[о / ô / у͡о / уо / оу],"лиц[ô], хорош[ô]","с[ô]н, м[ô]х",Архаичные говоры с [ê]
V003,Гласные,Ударный вокализм,Переход фонемы < е > в фонему < о >,Наличие / отсутствие перехода под ударением перед твёрдым согласным,2_TiPVDiLGRYa_Ud-Vok.pdf,5,"[п’é]с, [л’é]н, не[с’é]шь, не[с’é]м","[п’ó]с, [н’ó]с, ве[з’ó]шь, не[с’ó]м",[н’é]бо / [н’ó]бо; [кр’é]ст / [кр’ó]ст,зе[л’ó]ной > зе[л’óн’е]нькой,
V004,Гласные,Ударный вокализм,Реализация фонемы < а > между мягкими согласными,Произношение <а> между мягкими согласными,2_TiPVDiLGRYa_Ud-Vok.pdf,6,о[п’áт’]; [з’áт’]; п[р’áн’]ик; в[з’áл’]и,о[п’éт’]; [з’éт’]; п[р’éн’]ик; в[з’éл’]и,гу[л’áл’]и; ког[т’áм’]и; рем[н’áм’]и,гу[л’éл’]и; ког[т’éм’]и; рем[н’é’]ми,
V005,Гласные,Ударный вокализм,Системные особенности ударного вокализма,Система ударного вокализма в говорах,2_TiPVDiLGRYa_Ud-Vok.pdf,7,"Говоры с шестью, семью или восемью гласными фонемами",Зависимость качества гласных от последующего твёрдого / мягкого согласного,,,
V006,Гласные,Безударный вокализм,Позиция первого предударного слога,Сохранение качества гласных или редукция,3_TiPVDiLGRYa_Bezud-Vok.pdf,2,трáвы – травá; сóвы – совá; двôр – дворы; дêло – делá,тр[а]вá,в [л’а]су / в [л’и]су,[н’е]си / [н’а]си / [н’и]си,
V007,Гласные,Безударный вокализм,Оканье,Различение <о> и <а> после твёрдых согласных в первом предударном слоге,3_TiPVDiLGRYa_Bezud-Vok.pdf,3,с[а]м – с[а]ма; дв[о]р – дв[о]ры,[о/а],[о/о],[о/у],
V008,Гласные,Безударный вокализм,Сверхоканье,Гиперическое / истинное / ложное оканье,3_TiPVDiLGRYa_Bezud-Vok.pdf,3,тр[а]вы – тр[о]ва,"скожи, кокую, нород, скокать","зобор, зобота, локей, корета","торелка, ломпадка",
V009,Гласные,Безударный вокализм,Аканье,Неразличение <о> и <а> после твёрдых согласных в первом предударном слоге,3_TiPVDiLGRYa_Bezud-Vok.pdf,4,с[а]м – с[а]ма; дв[о]р – дв[а]ры,ст[а]лы – тр[а]вы; ст[а]лу – тр[а]ву,ст[ъ]ла – тр[ъ]ва; с[ъ]плей; н[ъ]сок,ассимилятивно-диссимилятивное аканье,В sheet 2 развернуть типы
V010,Гласные,Безударный вокализм,Яканье,"Неразличение <о>, <а>, <е> после мягких согласных",3_TiPVDiLGRYa_Bezud-Vok.pdf,6,[п’а]ть – [п’а]ти; [н’о]с – [н’а]си; [л’е]с – [л’а]са,"[п’а]ти, [н’а]си, в [л’а]су","[п’и]ти, [н’и]си, в [л’и]су",[л’и]са / [р’и]ка,"В sheet 2 развернуть сильное, диссимилятивное, ассимилятивное, умеренное"
V011,Гласные,Безударный вокализм,Еканье,"Совпадение <о>, <а>, <е> после мягких согласных в [е]",3_TiPVDiLGRYa_Bezud-Vok.pdf,8,[п’а]ть – [п’е]ти,[н’о]с – [н’е]си,[л’е]с – [л’е]са,,
V012,Гласные,Безударный вокализм,Иканье,"Совпадение <о>, <а>, <е> после мягких согласных в [и]",3_TiPVDiLGRYa_Bezud-Vok.pdf,8,[п’а]ть – [п’и]ти,[н’о]с – [н’и]си,[л’е]с – [л’и]са,,
V013,Гласные,Безударный вокализм,Ёканье,"Частичное различение <е>, <о> после мягких согласных в безударных слогах",3_TiPVDiLGRYa_Bezud-Vok.pdf,9,[н’о]с – [н’о]су,[р’е]к – [р’о]кой,"[л’о]жу, [н’о]су","по[л’о], ве[т’о]р, се[м’о]",Предударное и заударное
V014,Гласные,Безударный вокализм,Уканье,Неразличение <о> и <у> после твёрдых согласных в безударных слогах,3_TiPVDiLGRYa_Bezud-Vok.pdf,10,"удна, утнял","утопри, удного","стурона, мулоко","пупугай; пумугли, гулубой, лускуды",
V015,Гласные,Безударный вокализм,Гласные второго предударного слога после твёрдых согласных,"Различение / неразличение <о>, <а> во втором предударном слоге",3_TiPVDiLGRYa_Bezud-Vok.pdf,11,борона – сарафан,бърона – сърафан / барона – сарафан,бърана – сърафан / бырана – сырафан,,
C001,Согласные,Качество согласных,Качество заднеязычного звонкого согласного,Взрывной [г] / фрикативный [ɣ],4_TiPVDiLGRYa_Sogl.pdf,2-3,"[г]уси, но[г’]и, ро[г]а","[ɣ]уси, но[ɣ’]и, ра[ɣ]а","боɣа, ɣосподи, аɣа","доброɣо, тоɣо",
C002,Согласные,Качество согласных,Реализация заднеязычного фрикативного мягкого,Задненёбная / средненёбная реализация,4_TiPVDiLGRYa_Sogl.pdf,4,"[ɣ’и]бель, [ɣ’е]рманец, сапо[ɣ’и]","[j’и]бель, [j’е]рманец, сапо[j’и]",но[ɣ’и],но[j’и],
C003,Согласные,Заднеязычные,Непереходное ассимилятивное смягчение заднеязычных,"Смягчение <г>, <к>, <х> после мягких перед непередним гласным",4_TiPVDiLGRYa_Sogl.pdf,5,"ва[н’к’]а, ма[н’к’]а, ско[л’к’]о","ча[j’к’]у, вве[р’х’]у, ша[н’г’]а, кры[шк’]а","только [к]: ско[л’к’]о, ча[j’к’]у",только после парных / непарных по мягкости,
C004,Согласные,Заднеязычные,Переходное неассимилятивное смягчение заднеязычных,Смягчение перед гласными переднего ряда,4_TiPVDiLGRYa_Sogl.pdf,6,"ru[т’и], но[д’и]",[т’и]слый,[д’и]бель,,
C005,Согласные,Заднеязычные,Переходное ассимилятивное смягчение заднеязычных,Смягчение после мягких перед непередним гласным,4_TiPVDiLGRYa_Sogl.pdf,6,"ва[н’т’]а, ско[л’т’]о",ша[н’д’]а,кры[шт’]а,,
C006,Согласные,Сонанты и скользящие,Реализация фонемы < j >,Ослабление артикуляции,4_TiPVDiLGRYa_Sogl.pdf,7,"[и̯а]ма, мо[и̯а]","зн[аи̯э]т, сильн[аи̯э]",зн[аэ]т,сильн[аэ]т,
C007,Согласные,Переднеязычные фрикативные,Палатальные (шепелявые) переднеязычные фрикативные,"Палатальные [с’’], [з’’]",4_TiPVDiLGRYa_Sogl.pdf,8,"ва[с’’а], в[ш’о]",[с’ш’е]бе,"ко[ш’]ить, в[ж’]ал",[з’’и]ма,
C008,Согласные,Переднеязычные фрикативные,Твёрдые шепелявые и смешение зубных с альвеолярными,"Твёрдые [сш], [зж] и смешение [с-ш], [з-ж]",4_TiPVDiLGRYa_Sogl.pdf,8,"[сш]олома, [сш]колько, [зж]амёрзла",[ж]амуж – [з]ара,[ш]ажа – [с]аги,,
C009,Согласные,Шипящие,Реализация кратких шипящих согласных,Краткие твёрдые / краткие мягкие шипящие,4_TiPVDiLGRYa_Sogl.pdf,9,"[ш’]ар, [ж’]ара, [ж’]ила, но[ш’]ка","[ж’]ила, [ш’]ила, но: [ж]ать, [ш]аг","[ж’]ила, но: [шы]ла, [ж]ать, [ш]аг","[жы]ла, [шы]ла, [ж]ать, [ш]аг",
C010,Согласные,Шипящие,Реализация долгих шипящих согласных,Типы долгих шипящих,4_TiPVDiLGRYa_Sogl.pdf,9,"[ш’ч’]ука, [ш’ч’]итать, е[ж’д’ж’]у","[шч]ука, [шчы]тать, е[ждж]у","[ш’:]ука, [ш’:и]тать, е[ж’:]у","[ш:]ука, [ш:ы]тать, е[ж:]у",
C011,Согласные,Аффрикаты,"Различение аффрикат <ц>, <ч’>",Различение аффрикат,4_TiPVDiLGRYa_Sogl.pdf,10,"[ч’]ай, [ч’]удо – [ц’]арь, [ц’]елый","[ч]ай, [ч]удо – [ц]арь, [ц]елый","[ч’]ай, [ч’]удо – [ц]арь, [ц]елый",,
C012,Согласные,Аффрикаты,Цоканье,Неразличение аффрикат,4_TiPVDiLGRYa_Sogl.pdf,10,"[ц]ай, [ц]удо – [ц]арь, [ц]елый","[ц’]ай, [ц’]удо – [ц’]арь, [ц’]елый","[ц]ай, [ц]удо – [ц’]арь, [ц’]елый","[ч’]ай, [ч’]удо – [ч’]арь, [ч’]елый",
C013,Согласные,Аффрикаты,Утрата затвора аффрикатами,Соканье / секанье / шоканье,4_TiPVDiLGRYa_Sogl.pdf,11,"[ш’]ай, [ш’]удо – [с]арь, [с]елый","[с]арь, [сэ]лый","[с’]арь, [с’]елый","[ш’]ай, [ш’]удо",
C014,Согласные,Губные,"Согласные <в>, <ф>, <в’>, <ф’>",Губно-губная / губно-зубная артикуляция и реализации <ф>,4_TiPVDiLGRYa_Sogl.pdf,12,"[w]оля, де[w]ка, тра[w]а","[в]оля, тра[в]а, ста[в’]ил","[хw]артук, [хw]ильм","де[ф]ка, тра[ф]ка, коро[ф], ста[ф’]",
C015,Согласные,Сонорные,Согласный сонорный боковой,Артикуляция твёрдого бокового сонорного,4_TiPVDiLGRYa_Sogl.pdf,13,"шlа, паlок – ш[оу꙼], па[у꙼]ка","шла, палок – ш[оу꙼], па[у꙼]ка","ш[л]а, па[л]ок – шё[л], па[л]ка",,
C016,Согласные,Прочие особенности,Ассимиляция носовых согласных,Ассимиляция носовых,4_TiPVDiLGRYa_Sogl.pdf,14,о[м:]ан,о[н:]а,[мн]ук,,
C017,Согласные,Прочие особенности,Ассимиляция «зубной + j»,Ассимиляция сочетания зубной + j,4_TiPVDiLGRYa_Sogl.pdf,14,дру[з’:]а,сви[н’:]а,пла[т’:]а,,
C018,Согласные,Прочие особенности,Диссимиляция,Диссимилятивные изменения,4_TiPVDiLGRYa_Sogl.pdf,14,ску[ч’]но – ску[шн]о,[ч’]то – [ш]то,[к]то – [х]то,[гд]ому – [ɣд]ому,
C019,Согласные,Прочие особенности,Отвердение конечных губных согласных,Отвердение конечных губных,4_TiPVDiLGRYa_Sogl.pdf,14,"се[м], кро[ф], голу[п]","се[м’], кро[ф’], голу[п’]",,,
C020,Согласные,Прочие особенности,Упрощение конечных групп согласных,Упрощение конечных групп согласных,4_TiPVDiLGRYa_Sogl.pdf,14,"мо[ст], хво[ст], гво[с’т’]","мо[с], хво[с], гво[с’]",,,
N001,Морфология,Существительное,Категория рода,Изменения категории рода,5_TiPVDiLGRYa_Morf_Sush.pdf,2-3,мая́ ме́ста,большой стадо; больша́я село́,моё дитятко; ласковое теля; бересто,"мая́ училища; лебедь, мышь",
N002,Морфология,Существительное,Образование форм множественного числа,Диалектные модели множественного числа,5_TiPVDiLGRYa_Morf_Sush.pdf,5,"сноп[jа], куст[jа]","берёз[jа], шуб[jа]","зяти, браты","ребёнки, телёнки, татарины",
N003,Морфология,Существительное,"Отвлечённые, вещественные и собирательные существительные во мн. числе",Особое поведение существительных во множественном числе,5_TiPVDiLGRYa_Morf_Sush.pdf,5,какие суши настали!,Радостей он принес,овсы хорошие; горохам радуюсь,"те молодёжь, те холостёжь",
N004,Морфология,Существительное,1-е склонение,Варианты падежных окончаний существительных 1-го склонения,5_TiPVDiLGRYa_Morf_Sush.pdf,8,"к жены, земли; о воды, земли","у жене, земле",бабою / бабой / бабэй / бабуй,дерев[н’оj],
N005,Морфология,Существительное,3-е склонение,Особенности форм существительных 3-го склонения,5_TiPVDiLGRYa_Morf_Sush.pdf,9,из грязи / из грязе,к грязе,грязю,"грязjоj, -jуj, -еj, -уj, -оj",
N006,Морфология,Существительное,Нерегулярное склонение,"Склонение слов типа время, матерь",5_TiPVDiLGRYa_Morf_Sush.pdf,10,"време, времё, времю","времем, времём, времим","матерь, матеря, матере","матерей, матерjу",
N007,Морфология,Существительное,2-е склонение: родительный на -у,Расширение употребления окончания -у,5_TiPVDiLGRYa_Morf_Sush.pdf,11,"из саду, нет забору",без мужу живу,"без сену, от полю","без сухарю́, без отцу́",
N008,Морфология,Существительное,2-е склонение: предложный на -е / -у / -и,Варианты предложного падежа,5_TiPVDiLGRYa_Morf_Sush.pdf,12,"в городу, на тра́хту́","o мужику́, о го́роду",на столи́,о медведи́,
N009,Морфология,Существительное,Множественное число: дат. на -ом,Окончание -ом в дат. мн. ч.,5_TiPVDiLGRYa_Morf_Sush.pdf,14,по грехом,по делом,по глазом,,
N010,Морфология,Существительное,Множественное число: предл. на -ох,Окончание -ох в предл. мн. ч.,5_TiPVDiLGRYa_Morf_Sush.pdf,14,"лапоть, лошадь, гость, дочь","люди, дети, сани, сени",о -ох у муж. и жен. рода,,
N011,Морфология,Существительное,Множественное число: творительный,Модели творительного множественного,5_TiPVDiLGRYa_Morf_Sush.pdf,15-16,"во́дыми, зе́млими, ко́ними, ба́бами","дома́ми, коня́ми, стола́ми","дома́мы, ба́бамы, стару́хамы","людьми, гусьми, слезми, свечми",
N012,Морфология,Существительное,Множественное число: совпадение дат. и тв.,Совпадение форм дательного и творительного мн. числа,5_TiPVDiLGRYa_Morf_Sush.pdf,17,к ногам – с ногам,к селам – с селам,,,
N013,Морфология,Существительное,Множественное число: именительный,Модели именительного множественного,5_TiPVDiLGRYa_Morf_Sush.pdf,18-20,горожане / устюжа́на / крестьяны,"сёла, окна, вёдра, дела́, места́","о́кны, вёдры, сёлы, гу́мны","леса́, столба́, города́; бровя́; шу́бья",
N014,Морфология,Существительное,Множественное число: родительный,Модели родительного множественного,5_TiPVDiLGRYa_Morf_Sush.pdf,21-22,"яблоков, татаров, глазов","окнов, селов, кучов, свадьбов","лещов, плащов, конёв; мышов","молодцей, отцей, домох, стадох",
G001,Морфология,Глагол,Формы 3-го лица ед. и мн. числа,Твёрдое / мягкое конечное [т]; наличие / отсутствие [т],6_TiPVDiLGRYa_Morf_Glag.pdf,2,"глядит, пишет, несёт","ɣляди[т’], пише[т’], несё[т’]","гляди, пише, несё","ɣлядя, пишу[т’], несу[т’]",
G002,Морфология,Глагол,Формы 2 и 3 л. ед. ч. и 1 и 2 л. мн. ч.,Варианты форм типа несёшь / несём / несёт / несёте,6_TiPVDiLGRYa_Morf_Glag.pdf,3,"ты не[с’е]шь, мы не[с’е]м","он не[с’е]т, вы не[с’е]те",мы не[с’о]м,он не[с’о]т,
G003,Морфология,Глагол,Формы 2 л. мн. ч.,Нестандартные формы 2 л. мн. ч.,6_TiPVDiLGRYa_Morf_Glag.pdf,4,несетё,несе[т’е́],,,
G004,Морфология,Глагол,Формы 1 л. ед. и мн. ч.,Нестандартные формы 1 л. ед. / мн. ч.,6_TiPVDiLGRYa_Morf_Glag.pdf,4,я не знай,несёмо,знаема,,
G005,Морфология,Глагол,Основы глаголов,Соотношение -а / -j и -ну / -Ø,6_TiPVDiLGRYa_Morf_Glag.pdf,5,"пахают, брехают, стонают, дремают","ездиют, лазиют, мериют, требовают",умолк / умолкнул – умолкнут,,
G006,Морфология,Глагол,Чередования в основах глаголов,Чередования в I и II спряжении,6_TiPVDiLGRYa_Morf_Glag.pdf,6,не[с]у – не[с’]ёшь,бере[г]у – бере[ж]ёшь; пе[к]у – пе[ч’]ёшь,пе[к’]у / пе[к]ошь,лю[б’]ят – лю[бл’]ю / лю[б’]ю,
G007,Морфология,Глагол,Формы будущего времени,Диалектные формы сложного будущего,6_TiPVDiLGRYa_Morf_Glag.pdf,7,"иму делать, имел делать",Лён имём связывать,помирать хочу; захворать хочете,Почну реветь,
G008,Морфология,Глагол,Формы спряжения,Диалектные парадигмы спряжения,6_TiPVDiLGRYa_Morf_Glag.pdf,8,пи[шъш] – ды[шъш],пи[шът] – ды[шът],"играшь, играт, играм","умешь, умет, умем",
G009,Морфология,Глагол,Формы прошедшего времени,"Прошедшее время, перфектные и плюсквамперфектные конструкции",6_TiPVDiLGRYa_Morf_Glag.pdf,9,подохл,пришел есть; ушел есть,Я е опухла; Она была с дочерью жила,бра́ла / брала́; ви́ла / вила́,
G010,Морфология,Глагол,Наклонение и вид,Повелительное наклонение и видовые формы,6_TiPVDiLGRYa_Morf_Glag.pdf,10-11,"броси, сяди, встани","посоль, отгонь, глянь, положь, напой, подь","стрелять – стрелить; думать – сдумать, удумать",бегивал; крашивал; стреконуть; хлебануть,
G011,Морфология,Глагол,Возвратные формы,"Качество согласного, гласного и наличие / отсутствие гласного",6_TiPVDiLGRYa_Morf_Glag.pdf,12-13,"боялса, боялсы, боялсэ","боялся, болси, боялсе","боюся, боитеся / боюсь, боитесь","бои[с’:а], бои[с:а], бои[ш:а]",
G012,Морфология,Глагол,Формы инфинитива,Диалектные формы инфинитива,6_TiPVDiLGRYa_Morf_Glag.pdf,14,"нести́, печи́, ходи́ти, бере́чи","несть, печь, месть, гресть","берегти, пекти, гребти","гребсти, печти",
P001,Морфология,Причастие и деепричастие,Формы причастий страдательного залога прошедшего времени,Иные модели образования,7_TiPVDiLGRYa_Morf_Prich.pdf,2,"собрато, оторвато","наколоно, распорено","положон, лечоный",,
P002,Морфология,Причастие и деепричастие,Деепричастия на -учи,Формы на -учи,7_TiPVDiLGRYa_Morf_Prich.pdf,3,идучи,крадучи,,,
P003,Морфология,Причастие и деепричастие,Деепричастия на -ши / -вши,Формы на -ши / -вши,7_TiPVDiLGRYa_Morf_Prich.pdf,3,"принесши, легши, привыкши","одевши, лечивши",,,
P004,Морфология,Причастие и деепричастие,Огласовка суффикса деепричастий,Варианты суффикса,7_TiPVDiLGRYa_Morf_Prich.pdf,3,одевши,одемши,одетши,оделши,
P005,Морфология,Причастие и деепричастие,Формы деепричастий от основы прош. времени глагола идти,Вариативность форм,7_TiPVDiLGRYa_Morf_Prich.pdf,3,ушодцы,ушодчи,"ушодши, ушовши","ушолши, ушомши",
P006,Морфология,Причастие и деепричастие,Причастие как часть сказуемого,Причастие как именная часть сказуемого,7_TiPVDiLGRYa_Morf_Prich.pdf,4,Корова напоеная,Дом построеный,,,
P007,Морфология,Причастие и деепричастие,Координация причастного сказуемого,Отсутствие координации; формы субъекта; бессубъектные конструкции,7_TiPVDiLGRYa_Morf_Prich.pdf,5,Корова напоён. Сено скошен.,Корову напоёно. Воду принесёно. Воды принесён.,Козами съедено. У коз съедено. У ребят убрано.,Весной не едено. Здесь не хожено.,
P008,Морфология,Причастие и деепричастие,Деепричастие-сказуемое с перфектным значением,Деепричастие как сказуемое,7_TiPVDiLGRYa_Morf_Prich.pdf,6,Она поевши,Он уехавши,Мы всё съевши,Она всё убравши,
